Date;Price
08.05.2023;7440.91015625
09.05.2023;7397.169921875
10.05.2023;7361.2001953125
11.05.2023;7381.77978515625
12.05.2023;7414.85009765625
15.05.2023;7418.2099609375
16.05.2023;7406.009765625
17.05.2023;7399.43994140625
18.05.2023;7446.89013671875
19.05.2023;7491.9599609375
22.05.2023;7478.16015625
23.05.2023;7378.7099609375
24.05.2023;7253.4599609375
25.05.2023;7229.27001953125
26.05.2023;7319.18017578125
29.05.2023;7303.81005859375
30.05.2023;7209.75
31.05.2023;7098.7001953125
01.06.2023;7137.43017578125
02.06.2023;7270.68994140625
05.06.2023;7200.91015625
06.06.2023;7209.0
07.06.2023;7202.7900390625
08.06.2023;7222.14990234375
09.06.2023;7213.14013671875
12.06.2023;7250.35009765625
13.06.2023;7290.7998046875
14.06.2023;7328.52978515625
15.06.2023;7290.91015625
16.06.2023;7388.64990234375
19.06.2023;7314.0498046875
20.06.2023;7294.169921875
21.06.2023;7260.97021484375
22.06.2023;7203.27978515625
23.06.2023;7163.419921875
26.06.2023;7184.35009765625
27.06.2023;7215.580078125
28.06.2023;7286.31982421875
29.06.2023;7312.72998046875
30.06.2023;7400.06005859375
03.07.2023;7386.7001953125
04.07.2023;7369.93017578125
05.07.2023;7310.81005859375
06.07.2023;7082.2900390625
07.07.2023;7111.8798828125
10.07.2023;7143.68994140625
11.07.2023;7220.009765625
12.07.2023;7333.009765625
13.07.2023;7369.7998046875
14.07.2023;7374.5400390625
17.07.2023;7291.66015625
18.07.2023;7319.18017578125
19.07.2023;7326.93994140625
20.07.2023;7384.91015625
21.07.2023;7432.77001953125
24.07.2023;7427.31005859375
25.07.2023;7415.4501953125
26.07.2023;7315.06982421875
27.07.2023;7465.240234375
28.07.2023;7476.47021484375
31.07.2023;7497.77978515625
01.08.2023;7406.080078125
02.08.2023;7312.83984375
03.08.2023;7260.52978515625
04.08.2023;7315.06982421875
07.08.2023;7319.759765625
08.08.2023;7269.47021484375
09.08.2023;7322.0400390625
10.08.2023;7433.6201171875
11.08.2023;7340.18994140625
14.08.2023;7348.83984375
15.08.2023;7267.7001953125
16.08.2023;7260.25
17.08.2023;7191.740234375
18.08.2023;7164.10986328125
21.08.2023;7198.06005859375
22.08.2023;7240.8798828125
23.08.2023;7246.6201171875
24.08.2023;7214.4599609375
25.08.2023;7229.60009765625
28.08.2023;7324.7099609375
29.08.2023;7373.43017578125
30.08.2023;7364.39990234375
31.08.2023;7316.7001953125
01.09.2023;7296.77001953125
04.09.2023;7279.509765625
05.09.2023;7254.72021484375
06.09.2023;7194.08984375
07.09.2023;7196.10009765625
08.09.2023;7240.77001953125
11.09.2023;7278.27001953125
12.09.2023;7252.8798828125
13.09.2023;7222.56982421875
14.09.2023;7308.669921875
15.09.2023;7378.81982421875
18.09.2023;7276.14013671875
19.09.2023;7282.1201171875
20.09.2023;7330.7900390625
21.09.2023;7213.89990234375
22.09.2023;7184.81982421875
25.09.2023;7123.8798828125
26.09.2023;7074.02001953125
27.09.2023;7071.7900390625
28.09.2023;7116.240234375
29.09.2023;7135.06005859375
02.10.2023;7068.16015625
03.10.2023;6997.0498046875
04.10.2023;6996.72998046875
05.10.2023;6998.25
06.10.2023;7060.14990234375
09.10.2023;7021.39990234375
10.10.2023;7162.43017578125
11.10.2023;7131.2099609375
12.10.2023;7104.52978515625
13.10.2023;7003.52978515625
16.10.2023;7022.18994140625
17.10.2023;7029.7001953125
18.10.2023;6965.990234375
19.10.2023;6921.3701171875
20.10.2023;6816.22021484375
23.10.2023;6850.47021484375
24.10.2023;6893.64990234375
25.10.2023;6915.06982421875
26.10.2023;6888.9599609375
27.10.2023;6795.3798828125
30.10.2023;6825.06982421875
31.10.2023;6885.64990234375
01.11.2023;6932.6298828125
02.11.2023;7060.68994140625
03.11.2023;7047.5
06.11.2023;7013.72998046875
07.11.2023;6986.22998046875
08.11.2023;7034.16015625
09.11.2023;7113.66015625
10.11.2023;7045.0400390625
13.11.2023;7087.06005859375
14.11.2023;7185.68017578125
15.11.2023;7209.60986328125
16.11.2023;7168.39990234375
17.11.2023;7233.91015625
20.11.2023;7246.93017578125
21.11.2023;7229.4501953125
22.11.2023;7260.72998046875
23.11.2023;7277.93017578125
24.11.2023;7292.7998046875
27.11.2023;7265.490234375
28.11.2023;7250.1298828125
29.11.2023;7267.64013671875
30.11.2023;7310.77001953125
01.12.2023;7346.14990234375
04.12.2023;7332.58984375
05.12.2023;7386.990234375
06.12.2023;7435.990234375
07.12.2023;7428.52001953125
08.12.2023;7526.5498046875
11.12.2023;7551.52978515625
12.12.2023;7543.5498046875
13.12.2023;7531.22021484375
14.12.2023;7575.85009765625
15.12.2023;7596.91015625
18.12.2023;7568.85986328125
19.12.2023;7574.669921875
20.12.2023;7583.43017578125
21.12.2023;7571.39990234375
22.12.2023;7568.81982421875
27.12.2023;7571.81982421875
28.12.2023;7535.16015625
29.12.2023;7543.18017578125
